RowIdx,CellName,Animal,Session,IsSpatial,IsSignif,IsOmit,LLHrel,LLHrel_omit,LLHrel_L1L2,LLHrel_BG,LLHrel_Spd,pval_omit
177,M26004_20260318_cell#177,1,1,0,0,0,0.987086350535676,0.984813843314555,NaN,NaN,NaN,1
178,M26004_20260318_cell#178,1,1,1,1,0,1.20852220046801,0.992370568391752,NaN,NaN,NaN,1
179,M26004_20260318_cell#179,1,1,1,1,0,1.26001413650494,0.993368739087992,NaN,NaN,NaN,1
180,M26004_20260318_cell#180,1,1,1,1,0,1.04774807028941,0.979906399637204,NaN,NaN,NaN,1
181,M26004_20260318_cell#181,1,1,0,0,0,0.961304854231923,0.950123174882637,NaN,NaN,NaN,1
182,M26004_20260318_cell#182,1,1,0,0,0,0.943640464338815,0.990351916619481,NaN,NaN,NaN,1
183,M26004_20260318_cell#183,1,1,1,1,0,1.05454792506664,0.987923488383573,NaN,NaN,NaN,1
184,M26004_20260318_cell#184,1,1,1,1,0,1.01509236180178,0.991239346772653,NaN,NaN,NaN,1
185,M26004_20260318_cell#185,1,1,1,1,0,1.3582550651353,0.979552096525973,NaN,NaN,NaN,1
186,M26004_20260318_cell#186,1,1,1,1,0,1.24386749809987,1.01053961841812,NaN,NaN,NaN,0.00112937797767276
187,M26004_20260318_cell#187,1,1,1,1,0,1.15737043912403,0.99769290063476,NaN,NaN,NaN,1
188,M26004_20260318_cell#188,1,1,1,1,0,1.03119268564039,0.996832311404937,NaN,NaN,NaN,1
189,M26004_20260318_cell#189,1,1,0,0,0,1.05358146003314,0.983653881954406,NaN,NaN,NaN,1
190,M26004_20260318_cell#190,1,1,1,1,0,1.32483928773251,0.989345433094267,NaN,NaN,NaN,1
191,M26004_20260318_cell#191,1,1,1,1,0,1.03633554954381,0.998202203669027,NaN,NaN,NaN,1
192,M26004_20260318_cell#192,1,1,0,0,0,1.00972775677594,0.96974704979937,NaN,NaN,NaN,1
193,M26004_20260318_cell#193,1,1,1,1,0,1.18113485711583,0.856924077292334,NaN,NaN,NaN,1
194,M26004_20260318_cell#194,1,1,1,1,0,1.12390790092879,0.954853160599394,NaN,NaN,NaN,1
195,M26004_20260318_cell#195,1,1,1,1,0,1.42814062239664,0.970015529014455,NaN,NaN,NaN,1
196,M26004_20260318_cell#196,1,1,1,1,0,1.38383557187783,0.976650108091084,NaN,NaN,NaN,1
197,M26004_20260318_cell#197,1,1,1,1,0,1.23499804320496,0.940075528099353,NaN,NaN,NaN,1
198,M26004_20260318_cell#198,1,1,1,1,0,1.07869033485641,0.994769570414138,NaN,NaN,NaN,1
199,M26004_20260318_cell#199,1,1,1,1,0,1.32431075796242,1.00318005086878,NaN,NaN,NaN,0.803790168386281
200,M26004_20260318_cell#200,1,1,0,0,0,0.969271125647451,0.824223032332226,NaN,NaN,NaN,1
201,M26004_20260318_cell#201,1,1,1,1,0,1.35608068001829,0.891213791318851,NaN,NaN,NaN,1
202,M26004_20260318_cell#202,1,1,0,0,0,0.985534093455442,0.984573904032452,NaN,NaN,NaN,1
203,M26004_20260318_cell#203,1,1,0,0,0,1.0161341990968,0.976136478416034,NaN,NaN,NaN,1
205,M26004_20260318_cell#205,1,1,1,1,0,1.0956170212302,0.90504054872376,NaN,NaN,NaN,1
206,M26004_20260318_cell#206,1,1,0,0,0,1.02109527325741,0.947889969634651,NaN,NaN,NaN,1
207,M26004_20260318_cell#207,1,1,0,0,0,1.00920296674076,0.959477911126854,NaN,NaN,NaN,1
208,M26004_20260318_cell#208,1,1,1,1,0,1.10766414100094,0.99603466210125,NaN,NaN,NaN,1
209,M26004_20260318_cell#209,1,1,1,1,1,1.44984186798976,1.2682683744655,NaN,NaN,NaN,3.530509218308e-14
210,M26004_20260318_cell#210,1,1,0,0,0,1.02386173610966,0.959707862714141,NaN,NaN,NaN,1
211,M26004_20260318_cell#211,1,1,0,0,0,0.998934334143233,0.90827525140686,NaN,NaN,NaN,1
212,M26004_20260318_cell#212,1,1,0,0,1,1.03314447235743,1.02108111795332,NaN,NaN,NaN,0.00931167781222186
213,M26004_20260318_cell#213,1,1,1,1,0,1.28074766425997,0.945030546692756,NaN,NaN,NaN,1
214,M26004_20260318_cell#214,1,1,1,1,0,1.04600096432028,1.00732353830088,NaN,NaN,NaN,0.363310027182791
215,M26004_20260318_cell#215,1,1,1,1,0,1.07804235758449,0.972812900105673,NaN,NaN,NaN,1
216,M26004_20260318_cell#216,1,1,1,1,0,1.06056531299884,0.979436536055268,NaN,NaN,NaN,1
217,M26004_20260318_cell#217,1,1,0,0,0,1.03626087269162,0.828414990732757,NaN,NaN,NaN,1
218,M26004_20260318_cell#218,1,1,1,1,0,1.36049341225099,1.00817568974287,NaN,NaN,NaN,2.94209101525666e-14
219,M26004_20260318_cell#219,1,1,1,1,0,1.03139234945306,0.980080650068838,NaN,NaN,NaN,1
220,M26004_20260318_cell#220,1,1,1,1,0,1.17189342859874,0.976992755145771,NaN,NaN,NaN,1
221,M26004_20260318_cell#221,1,1,0,0,0,1.05194503565155,0.987084997465745,NaN,NaN,NaN,1
223,M26004_20260318_cell#223,1,1,0,0,0,1.01643335982783,0.968851092516775,NaN,NaN,NaN,1
224,M26004_20260318_cell#224,1,1,0,0,0,0.972929215382498,0.981707617460476,NaN,NaN,NaN,1
225,M26004_20260318_cell#225,1,1,1,1,0,1.42726754614696,1.00051221413459,NaN,NaN,NaN,1
226,M26004_20260318_cell#226,1,1,1,1,0,1.23067311315859,0.959489783006748,NaN,NaN,NaN,1
227,M26004_20260318_cell#227,1,1,1,1,0,1.45832746307801,0.94969785496866,NaN,NaN,NaN,1
228,M26004_20260318_cell#228,1,1,1,1,0,1.79446980731651,0.969938290873996,NaN,NaN,NaN,1
229,M26004_20260318_cell#229,1,1,0,0,0,0.990414723272715,0.959920859850524,NaN,NaN,NaN,1
230,M26004_20260318_cell#230,1,1,0,0,0,1.04667028472835,0.946474110611991,NaN,NaN,NaN,1
231,M26004_20260318_cell#231,1,1,1,1,0,1.0225570631121,0.99631409482978,NaN,NaN,NaN,1
232,M26004_20260318_cell#232,1,1,1,1,0,1.44305910927897,0.975580333931508,NaN,NaN,NaN,1
233,M26004_20260318_cell#233,1,1,0,0,0,0.998113339196253,0.980491668692045,NaN,NaN,NaN,1
234,M26004_20260318_cell#234,1,1,1,1,1,1.29170424327351,1.04350487752071,NaN,NaN,NaN,1.94772511653563e-05
235,M26004_20260318_cell#235,1,1,1,1,0,1.20821501193112,1.00347615994896,NaN,NaN,NaN,0.99999222356805
236,M26004_20260318_cell#236,1,1,1,1,1,1.08187546404383,1.01520844989088,NaN,NaN,NaN,0
237,M26004_20260318_cell#237,1,1,1,1,0,1.18529000495214,0.940221188924873,NaN,NaN,NaN,1
238,M26004_20260318_cell#238,1,1,1,1,0,1.09324006429789,0.991563286241202,NaN,NaN,NaN,1
239,M26004_20260318_cell#239,1,1,1,1,0,1.15673758594491,0.970978409453112,NaN,NaN,NaN,1
240,M26004_20260318_cell#240,1,1,1,1,0,1.04464842879591,0.948251804448639,NaN,NaN,NaN,1
241,M26004_20260318_cell#241,1,1,1,1,0,1.07677682611768,0.984144508371853,NaN,NaN,NaN,1
242,M26004_20260318_cell#242,1,1,0,0,0,0.977782268841607,0.941841571825022,NaN,NaN,NaN,1
243,M26004_20260318_cell#243,1,1,1,1,0,1.11973619926917,0.988328491406764,NaN,NaN,NaN,1
244,M26004_20260318_cell#244,1,1,1,1,1,1.20271242968836,1.03548456536302,NaN,NaN,NaN,0
245,M26004_20260318_cell#245,1,1,1,1,0,1.2314739308336,0.988697275901458,NaN,NaN,NaN,1
246,M26004_20260318_cell#246,1,1,0,1,0,1.01326396109288,NaN,NaN,NaN,NaN,NaN
247,M26004_20260318_cell#247,1,1,1,1,0,1.29200107070497,0.974111494358567,NaN,NaN,NaN,1
248,M26004_20260318_cell#248,1,1,1,1,0,1.06667491695527,0.912545994532249,NaN,NaN,NaN,1
249,M26004_20260318_cell#249,1,1,1,1,0,1.0652139016903,1.00206560708036,NaN,NaN,NaN,0.998378068161662
250,M26004_20260318_cell#250,1,1,1,1,0,1.34651605856167,0.967386757343067,NaN,NaN,NaN,1
251,M26004_20260318_cell#251,1,1,0,1,0,1.01369755528993,NaN,NaN,NaN,NaN,NaN
252,M26004_20260318_cell#252,1,1,1,1,0,1.2582655056054,1.0023574507839,NaN,NaN,NaN,0.609306172178152
253,M26004_20260318_cell#253,1,1,1,1,0,1.17565356615237,0.928223651909981,NaN,NaN,NaN,1
254,M26004_20260318_cell#254,1,1,1,1,0,1.08348062004478,0.991920798310529,NaN,NaN,NaN,1
255,M26004_20260318_cell#255,1,1,0,0,0,0.990309273800518,1.01966174417159,NaN,NaN,NaN,0.86136117853689
256,M26004_20260318_cell#256,1,1,1,1,0,1.26880776986589,0.892595398931209,NaN,NaN,NaN,1
257,M26004_20260318_cell#257,1,1,1,1,0,1.15728849817475,0.997740446450233,NaN,NaN,NaN,1
259,M26004_20260318_cell#259,1,1,1,1,0,1.19751328533807,0.979864540778744,NaN,NaN,NaN,1
260,M26004_20260318_cell#260,1,1,1,1,0,1.01905221620238,0.994669520119912,NaN,NaN,NaN,1
