CellName,goodcells,signicells,goodLLHcells,spatialcells,LLHi_vis,LLHi_pos,LLHrel,iPos_pval,posKernel_maxabs,overallResp_pval,LLHrel_omit,goodOmitcells
M26004_20260318_cell#135,1,1,1,1,0.00944280072162509,0.0114481421169775,1.21236722604555,5.53737944386512e-10,13.6833510061103,0,0.812371309431895,0
M26004_20260318_cell#136,1,0,0,0,0.00935028954835053,0.0093386141872616,0.998751336947529,1,0,0,0.411258704008751,0
M26004_20260318_cell#137,1,1,1,1,0.0147378003964873,0.0180781032516145,1.22664866976509,7.105427357601e-15,27.0659578950497,0,0.887058307593736,0
M26004_20260318_cell#138,1,1,1,1,0.0260768135923558,0.0397410188002581,1.52399826993846,0,96.3558838200241,0,0.982502333636358,0
M26004_20260318_cell#139,1,1,1,1,0.0641144941876007,0.0700584429605084,1.09270834696934,0,102.03428716725,0,0.997395683459209,0
M26004_20260318_cell#140,1,1,1,1,0.0597261269053531,0.0695820369116906,1.16501840177844,0,47.473156234794,0,0.994978061801974,0
M26004_20260318_cell#141,1,1,1,1,0.0179350954976976,0.0217108005208969,1.21052048614316,0,29.0923332219199,0,1.02049557407266,0
M26004_20260318_cell#142,1,1,1,1,0.0787409469802391,0.112072749288776,1.42330964494117,0,73.4726815002361,0,0.994294214129249,0
M26004_20260318_cell#143,1,1,1,1,0.0197002669693901,0.0277520285769787,1.40871332455033,0,38.9763632302606,0,0.95593359192686,0
M26004_20260318_cell#144,1,1,1,1,0.053696602247905,0.0597980159014886,1.1136275555279,0,31.3753624306325,0,0.99543548939354,0
M26004_20260318_cell#145,1,0,0,0,0.0173606129658123,0.0175093104942955,1.00856522340403,1,0,0,0.855690848168913,0
M26004_20260318_cell#146,1,0,0,0,0.0162183787600064,0.0158336081230721,0.976275641195213,1,0,0,0.948708744492507,0
M26004_20260318_cell#147,1,1,1,1,0.0933815273117658,0.120113023836544,1.28626107640681,0,81.2531194517989,0,0.960430459998798,0
M26004_20260318_cell#148,1,0,0,0,0.0599767913747376,0.057995044636181,0.96695810674208,1,0,0,0.978198852522014,0
M26004_20260318_cell#149,1,0,0,0,0.00968456698874496,0.00963404861930531,0.99478362125035,1,0,0,1.02685295292467,0
M26004_20260318_cell#150,1,1,1,1,0.0914572654949572,0.111733694191021,1.22170385902454,0,103.414965050536,0,1.00872875772406,0
M26004_20260318_cell#151,0,0,1,0,0.0137465537493904,0.0144208250586026,1.04905020716499,1,0,0.452967231662597,0.972005574197297,0
M26004_20260318_cell#152,1,1,1,1,0.0210246642913394,0.0219782663376611,1.04535635067022,0.000298503899309743,34.5142984377622,0,0.995221529231979,0
M26004_20260318_cell#153,1,0,1,0,0.0139353128028752,0.0142945546484926,1.02577924519522,1,0,0,0.901327599376569,0
M26004_20260318_cell#154,1,1,1,1,0.104662274083318,0.116852053406439,1.11646774761856,0,79.3615048762067,0,0.99013694524064,0
M26004_20260318_cell#155,0,0,0,0,0.00840216521905413,0.00797075832217994,0.948655270918042,1,0,1,0.987147089085883,0
M26004_20260318_cell#156,1,1,1,1,0.0276416088574792,0.0323771352633601,1.17131876911714,0,29.8335585251624,0,0.967942754391242,0
M26004_20260318_cell#157,1,1,1,1,0.0351643068899926,0.0401212343253172,1.1409647416294,0,45.2668572361988,0,0.97632471206325,0
M26004_20260318_cell#158,1,1,1,1,0.0706175035951651,0.0844112103891529,1.195329855797,0,55.8985358484352,0,0.971620888129831,0
M26004_20260318_cell#159,1,0,1,0,0.0220703311829388,0.0229854492936678,1.04146372354559,0.996058381315666,0,0,0.966650633609124,0
